特别提示：
1.本记账单内容可表明支付宝受理了相应记账明细申请，因系统原因或通讯故障等偶发因素导致本记账单与实际记账结果不符时，以实际记账情况为准；
2.请勿将本记账单作为收款方发货的凭据使用，请查证账户实际到账情况后再进行发货操作;
3.支付宝快捷支付等非余额支付方式可能既产生支付宝交易也同步产生银行交易，因此请勿使用本记账单进行重复记账;
4.本记账单如经任何涂改、编造，均立即失去效力；
5.部分记账如：充值提现、账户转存或者个人设置收支等不计入为收入或者支出，记为不计收支类；
6.禁止将本记账单用于非法用途；
7.本明细仅展示当前记账本中的明细，不包括己删除的记录；
8.本明细仅供个人记账使用。

记录时间,分类,收支类型,金额,备注,账户,来源,标签,
2025-09-20 19:39:05,餐饮,支出,31.10,麦当劳&麦咖啡(深圳新湖路店)外卖订单,花呗,账单同步,,
2025-09-19 19:28:49,餐饮,支出,112.70,串殿·纯真东北串(坪洲店)外卖订单,余额宝,账单同步,,
2025-09-17 12:14:37,投资理财,收入,0.11,理财派息-盛智存5号,,账单同步,,
2025-09-17 10:54:44,餐饮,支出,9.60,霸碗盖码饭(讯美科技广场店)外卖订单,花呗,账单同步,,
2025-09-16 03:40:26,投资理财,收入,0.01,余额宝-收益发放,余额宝,账单同步,,
2025-09-15 08:02:02,借还款,不计收支,436.88,花呗自动还款-2025年09月账单,余额宝|花呗,账单同步,,
2025-09-15 04:29:33,投资理财,收入,0.01,余额宝-收益发放,余额宝,账单同步,,
2025-09-14 10:45:28,餐饮,支出,30.00,尊宝比萨(中粮鸿云店)外卖订单,花呗,账单同步,,
2025-09-14 03:29:36,投资理财,收入,0.01,余额宝-收益发放,余额宝,账单同步,,
2025-09-13 11:31:26,其他,支出,38.00,CHAGEE霸王茶姬（广东深圳宝安天虹购物中心店）,余额宝,账单同步,,
2025-09-13 11:26:03,餐饮,支出,16.40,九尾狐·辣椒炒肉(大仟里店)外卖订单,花呗,账单同步,,
2025-09-13 07:12:11,酒店旅行,支出,22.00,机票联订更优惠-未完成联订任务扣回已享优惠,余额宝,账单同步,,
2025-09-13 03:34:22,投资理财,收入,0.01,余额宝-收益发放,余额宝,账单同步,,
2025-09-12 19:11:55,餐饮,支出,114.50,探唐烧烤·海鲜·烧烤(金海店)外卖订单,花呗,账单同步,,
2025-09-12 11:16:10,餐饮,支出,15.80,涂记川湘小炒木桶饭瓦罐汤(科技园店)外卖订单,花呗,账单同步,,
2025-09-11 11:20:28,餐饮,支出,15.00,霸碗盖码饭(讯美科技广场店)外卖订单,余额宝,账单同步,,
2025-09-10 12:12:13,投资理财,收入,0.11,理财派息-盛智存5号,,账单同步,,
2025-09-08 20:14:59,穿搭美容,支出,244.71,小米官旗米家电动剃须刀S302水洗免拆快充智能防夹刮胡刀家用礼物,余额宝,账单同步,,
2025-09-08 12:03:04,休闲玩乐,支出,489.00,【新品】MINISO名创优品WAKUKU哇库库兔兔&amp;狐狐系列盲盒手办摆件,余额宝,账单同步,,
2025-09-08 04:17:45,投资理财,收入,0.02,余额宝-收益发放,余额宝,账单同步,,
2025-09-07 11:06:47,餐饮,支出,25.80,太极堡·TAICHI BURGER(西乡天虹店)外卖订单,余额宝,账单同步,,
2025-09-07 03:32:43,投资理财,收入,0.02,余额宝-收益发放,余额宝,账单同步,,
2025-09-06 10:26:58,餐饮,支出,108.28,先启半步颠小酒馆(深圳宝安店)外卖订单,余额宝,账单同步,,
2025-09-06 09:43:48,学习,支出,20.00,喜马拉雅-订单编号:202509064001261007789519209,余额宝,账单同步,,
2025-09-06 09:42:46,餐饮,支出,21.30,茶救星球·蔬果茶(天虹购物中心店)外卖订单,余额宝,账单同步,,
2025-09-06 04:21:31,投资理财,收入,0.02,余额宝-收益发放,余额宝,账单同步,,
2025-09-05 02:44:17,投资理财,收入,0.02,余额宝-收益发放,余额宝,账单同步,,
2025-09-04 11:22:13,生活日用,支出,45.00,网易严选抽绳式垃圾袋加厚家用厨房卫生间一次性塑料袋白色囤货装,余额宝,账单同步,,
2025-09-04 05:21:16,投资理财,收入,0.03,余额宝-收益发放,余额宝,账单同步,,
2025-09-03 12:15:32,投资理财,收入,0.11,理财派息-盛智存5号,,账单同步,,
2025-09-03 05:22:15,投资理财,收入,0.03,余额宝-收益发放,余额宝,账单同步,,
2025-09-02 19:28:44,餐饮,支出,19.90,宝安天虹购物中心,余额宝,账单同步,,
2025-09-02 12:46:03,生活服务,支出,49.89,话费自动充值,余额宝,账单同步,,
2025-09-02 03:21:27,投资理财,收入,0.05,余额宝-收益发放,余额宝,账单同步,,
2025-09-01 11:07:01,餐饮,支出,17.80,鲜果派对·甘草水果(深南店),余额宝,账单同步,,
2025-09-01 04:09:40,投资理财,收入,0.04,余额宝-收益发放,余额宝,账单同步,,
2025-08-31 11:42:04,餐饮,支出,36.50,麦当劳&麦咖啡(深圳新湖路店)外卖订单,余额宝,账单同步,,
2025-08-31 03:56:28,投资理财,收入,0.04,余额宝-收益发放,余额宝,账单同步,,
2025-08-30 19:53:01,餐饮,支出,12.99,炒方便面是招牌!炒面·炒饭外卖订单,余额宝,账单同步,,
2025-08-30 11:14:41,餐饮,支出,32.76,蛙来哒·牛蛙(深圳宝安西乡天虹店)外卖订单,余额宝,账单同步,,
2025-08-30 03:51:33,投资理财,收入,0.04,余额宝-收益发放,余额宝,账单同步,,
2025-08-29 10:57:59,餐饮,支出,15.76,农家小炒木桶饭瓦罐汤外卖订单,余额宝,账单同步,,
2025-08-28 11:08:38,餐饮,支出,17.20,拌粉君●锅气炒粉(南山大冲店)外卖订单,余额宝,账单同步,,
2025-08-27 12:14:29,投资理财,收入,0.11,理财派息-盛智存5号,,账单同步,,
2025-08-27 10:55:43,餐饮,支出,16.80,疆岚·新疆大盘鸡·烤包子(白石洲店)外卖订单,招商银行,账单同步,,
2025-08-26 11:02:20,餐饮,支出,15.80,涂记川湘小炒木桶饭瓦罐汤(科技园店)外卖订单,招商银行,账单同步,,
2025-08-24 20:03:54,餐饮,支出,13.90,炒方便面是招牌!炒面·炒饭外卖订单,招商银行,账单同步,,
2025-08-24 11:03:36,餐饮,支出,14.20,霸碗盖码饭(西乡智慧城店)外卖订单,招商银行,账单同步,,
2025-08-23 20:30:55,餐饮,支出,13.90,炒方便面是招牌!炒面·炒饭外卖订单,招商银行,账单同步,,
2025-08-23 11:13:02,餐饮,支出,17.20,食悦·下饭湘菜(前海科兴店)外卖订单,招商银行,账单同步,,
2025-08-23 09:11:17,生活日用,支出,519.00,谜姬夜神飞机杯男用全自动伸缩电动自慰器情趣成人男士用品性玩具 等多件,招商银行,账单同步,,
2025-08-22 10:50:37,餐饮,支出,14.80,涂记川湘小炒木桶饭瓦罐汤(科技园店)外卖订单,招商银行,账单同步,,
2025-08-22 05:53:24,其他,支出,10.00,饿了么超级吃货卡,招商银行,账单同步,,
2025-08-21 11:00:35,餐饮,支出,18.80,疆岚·新疆大盘鸡·烤包子(白石洲店)外卖订单,招商银行,账单同步,,
2025-08-20 22:31:36,休闲玩乐,支出,30.00,扫码-月卡,花呗,账单同步,,
2025-08-20 12:14:24,投资理财,收入,0.11,理财派息-盛智存5号,,账单同步,,
2025-08-20 11:17:05,餐饮,支出,17.50,中国兰州拉面外卖订单,招商银行,账单同步,,
2025-08-19 11:03:44,餐饮,支出,20.60,三叔粥铺(南头店)外卖订单,招商银行,账单同步,,
2025-08-17 12:08:09,餐饮,支出,16.10,常湘思·湘菜现炒(天虹汇一城店)外卖订单,招商银行,账单同步,,
2025-08-16 20:05:28,餐饮,支出,14.40,米陀饭团(宝安西乡天虹店)外卖订单,招商银行,账单同步,,
2025-08-16 10:57:55,餐饮,支出,34.66,蛙来哒·牛蛙(深圳宝安西乡天虹店)外卖订单,招商银行,账单同步,,
2025-08-14 19:27:38,餐饮,支出,9.99,宝安天虹购物中心,招商银行,账单同步,,
2025-08-13 12:15:58,投资理财,收入,0.11,理财派息-盛智存5号,,账单同步,,
2025-08-13 00:40:09,购物,支出,31.00,百娇适用华为pura80ultra透明无边框手机壳pura70pro超薄新款360&deg;磁吸支架硬壳套p60防摔镜头p5,招商银行,账单同步,,
2025-08-12 11:06:00,餐饮,支出,14.40,袁记云饺(群芳街店)外卖订单,招商银行,账单同步,,
2025-08-12 09:27:33,借还款,不计收支,1，020.24,花呗主动还款-2025年08月账单,中国工商银行|花呗,账单同步,,
2025-08-11 15:49:15,退款,不计收支,39.00,退款-国内机票出行无忧礼包,招商银行,账单同步,,
2025-08-11 15:49:09,退款,不计收支,640.00,退款-机票订单付款{8407825216263|1_2_2025000410326252252},招商银行,账单同步,,
2025-08-11 11:26:48,购物,支出,1，099.00,【优惠价】华为FreeClip耳夹耳机开放式蓝牙无线华为耳机舒适佩戴长续航运动 等多件,花呗,账单同步,,
2025-08-11 11:11:27,餐饮,支出,14.70,霸碗盖码饭(讯美科技广场店)外卖订单,招商银行,账单同步,,
2025-08-10 20:28:14,餐饮,支出,14.20,赌上厨师职业生涯的炒饭!锄禾蛋炒饭·炒面·炒粉(新安店)外卖订单,招商银行,账单同步,,
2025-08-10 12:12:51,餐饮,支出,20.40,艾扎斯·新疆喀什手抓饭馆(宝安店)外卖订单,招商银行,账单同步,,
2025-08-09 12:22:56,餐饮,支出,15.74,北京沁汁包·现熬粥(翻身店)外卖订单,招商银行,账单同步,,
2025-08-08 20:09:40,餐饮,支出,6.43,宝安天虹购物中心,招商银行,账单同步,,
2025-08-08 12:14:24,餐饮,支出,22.90,KFC_PREAF10012528926488651436313,花呗,账单同步,,
2025-08-07 11:07:26,餐饮,支出,5.90,鲜果派对·甘草水果(深南店),招商银行,账单同步,,
2025-08-06 19:20:22,餐饮,支出,9.99,宝安天虹购物中心,招商银行,账单同步,,
2025-08-06 12:12:49,投资理财,收入,0.11,理财派息-盛智存5号,,账单同步,,
2025-08-06 10:38:45,学习,支出,10.00,喜马拉雅-订单编号:202508064001261007709301748,招商银行,账单同步,,
2025-08-06 10:25:41,餐饮,支出,12.30,涂记川湘小炒木桶饭-江西小炒(科技园店)外卖订单,招商银行,账单同步,,
2025-08-04 20:07:32,交通,支出,640.00,机票订单付款{8407825216263|1_2_2025000410326252252},招商银行,账单同步,,
2025-08-04 20:07:32,酒店旅行,支出,56.00,华泰国内航空延误险,招商银行,账单同步,,
2025-08-04 20:07:32,交通,支出,39.00,国内机票出行无忧礼包,招商银行,账单同步,,
2025-08-04 19:36:08,退款,不计收支,50.00,退款-国内航空意外险,招商银行,账单同步,,
2025-08-04 19:30:08,退款,不计收支,50.00,退款-国内航空意外险,招商银行,账单同步,,
2025-08-04 19:30:01,退款,不计收支,1，312.00,退款-机票订单付款{8378271638263|1_2_2025000401811308308},招商银行,账单同步,,
2025-08-03 22:20:15,休闲玩乐,支出,29.85,网鱼网咖,招商银行,账单同步,,
2025-08-03 00:22:39,餐饮,支出,10.50,浆小白·豆浆·肠粉·小笼夜市(秀沿路地铁站店)外卖订单,招商银行,账单同步,,
2025-08-02 10:47:40,餐饮,支出,102.00,有家本帮私房菜(周浦万达店)外卖订单,招商银行,账单同步,,
2025-08-01 12:02:55,餐饮,支出,22.90,肯德基,招商银行,账单同步,,
2025-08-01 09:18:21,餐饮,支出,1.50,广东深圳南山大冲新城美宜佳,余额宝,账单同步,,
2025-07-31 14:47:03,生活日用,支出,94.91,妇炎洁私处清洗液女私密护理液外阴清洗剂女性抑菌洗液日常洗护液,招商银行,账单同步,,
2025-07-31 11:20:45,餐饮,支出,20.49,hobb salad 创意轻食(大冲店)外卖订单,招商银行,账单同步,,
2025-07-30 22:29:30,其他,支出,38.00,订单P0730222902JqgRKocWtU,招商银行,账单同步,,
2025-07-30 19:59:29,餐饮,支出,22.90,肯德基,招商银行,账单同步,,
2025-07-30 12:14:55,投资理财,收入,0.11,理财派息-盛智存5号,,账单同步,,
2025-07-30 11:11:05,餐饮,支出,21.50,三叔粥铺(南头店)外卖订单,招商银行,账单同步,,
2025-07-30 11:08:38,运动,支出,47.31,无印良品一次性浴巾毛巾旅行单独包装加大加厚洗澡巾便携酒店专用,招商银行,账单同步,,
2025-07-30 10:51:34,退款,不计收支,115.32,退款-PLUZZ挂脖空调2025新款挂脖风扇制冷小风扇便携式小型迷你随身智能静音强力usb充电风扇脖子户外夏天降温神器,招商银行,账单同步,,
2025-07-29 19:29:29,餐饮,支出,22.90,肯德基,招商银行,账单同步,,
2025-07-29 10:43:24,餐饮,支出,14.50,车前外带寿司(科技园店)外卖订单,招商银行,账单同步,,
2025-07-28 11:01:34,餐饮,支出,13.70,霸碗盖码饭(讯美科技广场店)外卖订单,招商银行,账单同步,,
2025-07-27 23:35:03,购物,支出,115.32,PLUZZ挂脖空调2025新款挂脖风扇制冷小风扇便携式小型迷你随身智能静音强力usb充电风扇脖子户外夏天降温神器,招商银行,账单同步,,
2025-07-27 12:38:15,餐饮,支出,17.20,疆岚·新疆大盘鸡·烤包子(宝安店)外卖订单,招商银行,账单同步,,
2025-07-25 19:51:19,餐饮,支出,10.10,宝安天虹购物中心,招商银行,账单同步,,
2025-07-25 19:05:31,餐饮,支出,27.00,马记永·兰州牛肉面(深圳西乡天虹店)外卖订单,招商银行,账单同步,,
2025-07-25 11:10:27,餐饮,支出,8.50,27FRUITS甘草水果(高新园店),招商银行,账单同步,,
2025-07-24 22:26:25,交通,支出,156.00,航变无忧升级版,招商银行,账单同步,,
2025-07-24 22:26:25,酒店旅行,支出,200.00,国内航空意外险,招商银行,账单同步,,
2025-07-24 22:26:25,交通,支出,3，012.00,机票订单付款{8378271638263|1_2_2025000401811308308},招商银行,账单同步,,
2025-07-24 21:50:47,餐饮,支出,4.95,宝安天虹购物中心,花呗,账单同步,,
2025-07-24 14:31:52,退款,不计收支,21.00,退款-奈雪的茶(深圳南山讯美科技广场店)外卖订单,招商银行,账单同步,,
2025-07-24 14:30:50,餐饮,支出,21.00,奈雪的茶(深圳南山讯美科技广场店)外卖订单,招商银行,账单同步,,
2025-07-24 10:46:49,餐饮,支出,20.81,hobb salad 创意轻食(大冲店)外卖订单,招商银行,账单同步,,
2025-07-23 23:18:47,购物,支出,33.80,【新秒贴无尘】第一卫适用华为mate60pro钢化膜mate70手机膜pura80pro/70新款m40/50/60,招商银行,账单同步,,
2025-07-23 12:20:24,投资理财,收入,0.11,理财派息-盛智存5号,,账单同步,,
2025-07-23 10:58:54,餐饮,支出,21.29,hobb salad 创意轻食(大冲店)外卖订单,招商银行,账单同步,,
2025-07-22 12:14:52,餐饮,支出,22.75,肯德基,花呗,账单同步,,
2025-07-22 05:53:18,其他,支出,10.00,饿了么超级吃货卡,花呗,账单同步,,
2025-07-21 19:32:11,餐饮,支出,22.90,肯德基,花呗,账单同步,,
2025-07-21 10:57:21,餐饮,支出,20.81,hobb salad 创意轻食(大冲店)外卖订单,花呗,账单同步,,
2025-07-20 11:16:44,餐饮,支出,92.18,雪碧柠檬味摩登罐汽水 330ml等多件,招商银行,账单同步,,
2025-07-19 17:50:28,餐饮,支出,48.94,宝安天虹购物中心,花呗,账单同步,,
2025-07-18 21:36:13,餐饮,支出,9.22,宝安天虹购物中心,花呗,账单同步,,
2025-07-17 17:05:22,购物,支出,42.90,闪魔 适用苹果手表保护膜S10无尘仓applewatch软膜S9贴膜s8非水凝膜iWatch屏幕s4/s5/s6手表,花呗,账单同步,,
2025-07-17 11:02:15,餐饮,支出,19.60,hobb salad 创意轻食(大冲店)外卖订单,花呗,账单同步,,
2025-07-16 12:14:41,投资理财,收入,0.11,理财派息-盛智存5号,,账单同步,,
2025-07-16 10:46:49,餐饮,支出,22.50,赛百味·三明治(科兴店)外卖订单,花呗,账单同步,,
2025-07-15 13:54:24,借还款,不计收支,317.06,花呗自动还款-2025年07月账单,招商银行|花呗,账单同步,,
2025-07-14 19:46:01,餐饮,支出,9.90,宝安天虹购物中心,招商银行,账单同步,,
2025-07-14 15:26:21,投资理财,收入,0.75,蚂蚁财富-博时信用债纯债债券A-现金分红至余额宝,余额宝,账单同步,,
2025-07-14 10:57:03,餐饮,支出,17.90,沙拉Plus·健康轻食(南山科技园店)外卖订单,招商银行,账单同步,,
2025-07-13 17:40:25,餐饮,支出,25.30,奈雪的茶(深圳西乡天虹汇一城店)外卖订单,招商银行,账单同步,,
2025-07-12 09:24:29,餐饮,支出,189.33,金枕榴莲 2.5kg等多件,招商银行,账单同步,,
2025-07-11 10:43:08,餐饮,支出,12.70,食野·SAYYEAH·创意轻食(科技园店)外卖订单,招商银行,账单同步,,
2025-07-10 10:42:27,餐饮,支出,20.70,食野·SAYYEAH·创意轻食(科技园店)外卖订单,招商银行,账单同步,,
2025-07-09 12:16:47,投资理财,收入,0.11,理财派息-盛智存5号,,账单同步,,
2025-07-09 10:44:54,餐饮,支出,16.00,食野·SAYYEAH·创意轻食(科技园店)外卖订单,招商银行,账单同步,,
